loss_kl,TimestepsSoFar,EpLenMean,loss_vf_loss,loss_pol_entpen,EpisodesSoFar,ev_tdlam_before,EpRewMean,loss_pol_surr,EpThisIter,TimeElapsed,loss_ent
0.0065223607,1876,375.2,0.09665116,0.0,5,-0.3958197832107544,6.1220108889897125,-0.01146758,5,71.27099514007568,1.4097294
0.006585344,3897,324.75,0.07278783,0.0,12,0.006724298000335693,4.38499382680502,-0.01331818,7,145.47387433052063,1.4078861
0.005608459,5767,303.5263157894737,0.09289306,0.0,19,0.15216892957687378,3.619452908083426,-0.012620417,7,321.6944041252136,1.4079411
0.005484427,7942,317.68,0.08848247,0.0,25,0.18132644891738892,4.158714863130291,-0.014597936,6,458.17409110069275,1.4272664
0.0046158344,10114,326.258064516129,0.11969398,0.0,31,0.22178369760513306,4.448553989942794,-0.012591666,6,772.9611630439758,1.4351465
0.008416398,12240,340.0,0.12504274,0.0,36,0.12852364778518677,5.135693019585676,-0.019112736,5,976.3025453090668,1.4329771
0.0058307922,14027,342.1219512195122,0.13496774,0.0,41,0.26999539136886597,5.207556877246197,-0.01663328,5,1037.3938171863556,1.4324316
0.006433405,16242,345.5744680851064,0.122474864,0.0,47,0.3390125036239624,5.338925679159394,-0.017608177,6,1096.8694231510162,1.4326655
0.005081835,18256,344.45283018867923,0.17200367,0.0,53,0.38213419914245605,5.458095921471654,-0.015656218,6,1156.2236289978027,1.4343137
0.006859251,20240,348.9655172413793,0.15944403,0.0,58,0.3678305149078369,5.6688995764030174,-0.017701128,5,1214.8388359546661,1.4539375
0.0066635967,22103,362.344262295082,0.16338576,0.0,61,0.33638709783554077,6.23764536283111,-0.020122565,3,1272.853223323822,1.4657755
0.0077979723,24298,373.81538461538463,0.17547742,0.0,65,0.2726162075996399,6.647162819151035,-0.01978267,4,1335.0139751434326,1.4701319
0.00572804,26343,381.7826086956522,0.12892695,0.0,69,0.336436927318573,6.945773365002312,-0.018118933,4,1396.6948871612549,1.46875
0.008871746,28093,395.67605633802816,0.10699777,0.0,71,0.10277599096298218,7.576704443528753,-0.02011251,2,1456.7224402427673,1.4684986
0.006313828,29750,402.02702702702703,0.1337125,0.0,74,0.2836450934410095,7.867739527568715,-0.022136876,3,1520.9961531162262,1.4805413
0.0073409835,32693,413.8354430379747,0.1821322,0.0,79,0.26769542694091797,8.522998227400294,-0.017491076,5,1587.6473100185394,1.4841765
0.008992299,34473,420.4024390243902,0.1539551,0.0,82,0.3912299871444702,8.78549266114615,-0.019815464,3,1650.6786789894104,1.494586
0.006489578,36516,429.6,0.2816392,0.0,85,0.42899656295776367,9.125624889943769,-0.018147612,3,1711.4153053760529,1.5260875
0.0073563037,38834,441.29545454545456,0.17453668,0.0,88,0.22760093212127686,9.670838369254156,-0.018654991,3,1778.2496931552887,1.5195271
0.00720759,40528,450.31111111111113,0.13589457,0.0,90,0.31090229749679565,10.092452618037463,-0.020618642,2,1845.4745540618896,1.5216167
0.007717256,43000,457.4468085106383,0.19266942,0.0,94,0.3616437315940857,10.452045992359082,-0.019383391,4,1920.7343971729279,1.5006917
0.007806859,44510,463.6458333333333,0.17704442,0.0,96,0.27713459730148315,10.737408459610814,-0.020663818,2,1978.5609152317047,1.4867634
0.0062133465,46979,469.79,0.19722588,0.0,100,0.5060901939868927,11.017222137334075,-0.019540915,4,2040.550811290741,1.4761616
0.008816346,48655,476.74,0.26088145,0.0,103,0.48946183919906616,11.354637188225784,-0.0202812,3,2104.933047056198,1.4939318
0.007845432,51001,488.28,0.24744,0.0,106,0.4625360369682312,11.910913763023354,-0.018364143,3,2166.3673672676086,1.5012064
0.0070067146,53030,497.84,0.25672898,0.0,110,0.5137376189231873,12.406420963908563,-0.025035407,4,2230.3524081707,1.4928083
0.0061704735,55254,508.27,0.27852765,0.0,114,0.5855551958084106,12.866700677432162,-0.023425704,4,2295.008525133133,1.4752359
0.007889158,56979,520.37,0.27188316,0.0,116,0.5902167856693268,13.418207351746,-0.023001125,2,2359.536370277405,1.4737893
0.008407729,59282,535.15,0.25029367,0.0,119,0.6341483294963837,14.052678786803531,-0.020931993,3,2420.118963956833,1.4768523
0.008325108,61277,547.66,0.18181072,0.0,121,0.5638958513736725,14.7882495695545,-0.024062889,2,2481.075220346451,1.4640477
0.010361333,63041,554.61,0.31423235,0.0,124,0.6477247476577759,15.223900648402797,-0.026310243,3,2547.2387812137604,1.4647472
0.0077056964,65089,568.2,0.32268915,0.0,126,0.6003961265087128,15.82036015638856,-0.024075795,2,2609.090209007263,1.4491626
0.008207708,67137,582.3,0.21029827,0.0,128,0.24245965480804443,16.581815023679404,-0.021216592,2,2670.788177251816,1.4404026
0.009298837,69507,593.93,0.19784366,0.0,131,0.4920077919960022,17.438757588374802,-0.02685305,3,2741.3627829551697,1.4508709
0.0073432103,71054,598.2,0.25638485,0.0,133,0.6235440671443939,17.715926064096454,-0.019349715,2,2825.484367132187,1.4558191
0.009098664,73639,613.99,0.29829603,0.0,136,0.7353119850158691,18.481787616482123,-0.030913264,3,2886.717298269272,1.424357
0.007782076,75687,629.68,0.19543451,0.0,138,-0.29767465591430664,19.546234730396968,-0.025022468,2,2943.3441290855408,1.4020463
0.008403058,77072,634.2,0.1812248,0.0,140,0.4256662130355835,19.913761605597962,-0.02680545,2,2999.304583311081,1.3929024
0.008510944,79304,645.26,0.23428215,0.0,143,0.6092698872089386,20.63419531702422,-0.023585182,3,3056.144790172577,1.396339
0.008540539,81013,653.77,0.18978727,0.0,145,0.8059964925050735,21.136608068529583,-0.02584412,2,3112.120020389557,1.3959402
