loss_vf_loss,loss_ent,EpisodesSoFar,TimeElapsed,EpThisIter,EpLenMean,TimestepsSoFar,loss_kl,EpRewMean,loss_pol_entpen,ev_tdlam_before,loss_pol_surr
0.028998116,11.367251,8,53.57023310661316,8,234.375,1875,0.018750157,-0.07414309775240202,0.0,-2.1709065437316895,-0.050295483
0.019779144,11.371318,16,104.59057569503784,8,244.5,3912,0.01815475,0.4348280959432802,0.0,-0.22049641609191895,-0.054257754
0.021767851,11.313783,25,156.70423340797424,9,242.64,6066,0.01875119,0.3981434286674633,0.0,0.03645807504653931,-0.05472851
0.01699112,11.284944,32,207.54602885246277,7,251.71875,8055,0.018254234,0.7909471456729495,0.0,0.02987736463546753,-0.058309264
0.025843427,11.270476,39,258.07830286026,7,256.3076923076923,9996,0.017147796,0.937216149970244,0.0,-0.04365110397338867,-0.055723764
0.026570428,11.272122,46,312.15251564979553,7,262.8695652173913,12092,0.017654995,1.276333461049197,0.0,-0.026149988174438477,-0.057242904
0.023734182,11.24711,53,385.5799767971039,7,269.33962264150944,14275,0.020476993,1.4919727055174805,0.0,0.07724809646606445,-0.059865113
0.026857534,11.208975,59,440.41628193855286,6,277.0,16343,0.017719885,1.7884008936565503,0.0,0.08200252056121826,-0.059189204
0.030262576,11.209441,64,494.2750680446625,5,284.140625,18185,0.017474541,2.0456060561768257,0.0,0.12410664558410645,-0.05462515
0.03635491,11.157552,70,546.1330606937408,6,289.9428571428571,20296,0.018510083,2.29521460657093,0.0,0.15216457843780518,-0.06329672
0.0492156,11.146739,76,598.8160798549652,6,293.2105263157895,22284,0.020954061,2.4035136144083404,0.0,0.01714867353439331,-0.062326986
0.0383498,11.097321,81,660.1376633644104,5,303.04938271604937,24547,0.019444112,2.771187398021615,0.0,0.0002047419548034668,-0.06499702
0.044537045,11.118083,86,717.467353105545,5,308.7674418604651,26554,0.01829564,3.0204181204866636,0.0,0.029703080654144287,-0.05777396
0.050236247,11.1068945,91,779.7651200294495,5,314.3736263736264,28608,0.014756071,3.2344076589590327,0.0,0.09474754333496094,-0.05713582
0.05984553,11.028199,96,836.9130127429962,5,319.4479166666667,30667,0.020678375,3.43929457389985,0.0,0.1395617127418518,-0.06322531
0.05159524,10.983541,100,894.3377792835236,4,324.83,32483,0.0191661,3.62936375310195,0.0,0.07928735017776489,-0.06359312
0.060042407,10.946116,104,952.7934331893921,4,336.99,34601,0.019938719,4.1365889409986165,0.0,-0.05054140090942383,-0.061717317
0.06074934,10.90272,108,1014.5050113201141,4,343.99,36274,0.021054491,4.427436045156635,0.0,0.08949458599090576,-0.062285658
0.066353396,10.8964205,112,1075.270089149475,4,355.6,38507,0.020000314,4.884689572335712,0.0,0.05926847457885742,-0.058727834
0.08532548,10.85556,117,1130.9193148612976,5,365.44,40694,0.0194686,5.262135529768932,0.0,0.12715297937393188,-0.058827344
0.12761684,10.835635,121,1189.2218811511993,4,372.26,42380,0.020313742,5.506369038489954,0.0,0.09197276830673218,-0.05603296
0.061889928,10.804821,125,1248.5175051689148,4,387.57,44823,0.021604301,6.118537086633927,0.0,-0.05203521251678467,-0.062356267
0.06789291,10.789449,129,1306.7538244724274,4,396.06,46727,0.020566221,6.419749066754498,0.0,0.04177725315093994,-0.058549006
0.070088424,10.734738,133,1367.1267492771149,4,405.14,48900,0.01899465,6.81730960629914,0.0,0.08461087942123413,-0.06488271
0.06956368,10.716521,136,1428.7336511611938,3,416.81,50835,0.0185365,7.27632114661083,0.0,0.0866054892539978,-0.06093104
0.06343971,10.722146,139,1498.097201347351,3,427.82,52778,0.023654068,7.727681947040858,0.0,0.08818972110748291,-0.065455884
0.05467521,10.696279,142,1552.780720949173,3,436.51,54583,0.01946388,8.061265199035796,0.0,0.2054850459098816,-0.061721444
0.107619025,10.642497,146,1608.3140156269073,4,451.82,57274,0.019870779,8.656430460067426,0.0,0.11202961206436157,-0.059105918
0.0666542,10.628726,148,1657.039124250412,2,462.09,58928,0.020027755,9.071199501277492,0.0,0.2156626582145691,-0.06872961
0.08471921,10.562797,151,1712.3286023139954,3,476.44,61341,0.020593075,9.696629696231962,0.0,0.07490545511245728,-0.06137785
0.06285332,10.518983,153,1764.3266825675964,2,490.16,63291,0.020575937,10.24403941430417,0.0,0.12330830097198486,-0.0639869
0.07718196,10.490142,155,1819.5374312400818,2,503.17,65339,0.022260556,10.838330378830186,0.0,0.025976598262786865,-0.06679868
0.07135371,10.464364,157,1871.11013174057,2,511.69,66865,0.019236075,11.20523527693058,0.0,0.16101276874542236,-0.055435263
0.06884111,10.450969,159,1924.0903506278992,2,523.1,68653,0.018209089,11.709086973426198,0.0,0.12480717897415161,-0.05809832
0.07993257,10.447906,161,1974.883897781372,2,535.82,70701,0.01991879,12.350184958011907,0.0,0.108970046043396,-0.061017748
0.07994452,10.41574,163,2025.445011138916,2,548.65,72749,0.018536437,12.935947217103232,0.0,-0.012935161590576172,-0.061189972
0.14641348,10.437472,166,2077.097123861313,3,566.75,75524,0.022986429,13.774807676232214,0.0,0.10669571161270142,-0.061885044
0.096067525,10.424755,168,2128.5975053310394,2,580.1,77572,0.022067687,14.471860650268265,0.0,-0.05701029300689697,-0.061726324
0.09491217,10.412567,170,2180.354668855667,2,593.24,79620,0.019288855,15.10594777585216,0.0,0.06906634569168091,-0.06290276
0.09926087,10.415158,172,2231.586926460266,2,605.85,81668,0.020103512,15.71353135400926,0.0,0.043145835399627686,-0.0598002
0.09242684,10.401562,174,2282.4569211006165,2,619.55,83716,0.017336216,16.467913503534568,0.0,0.008010625839233398,-0.05572567
