,head_x,head_y,target_x,target_y
303,-42.96390151977539,-19.770278930664062,-46.69669181085334,-24.90209549406665
304,-43.04179000854492,-19.921743392944336,-46.77153884923339,-24.99589266910801
305,-43.114891052246094,-20.040613174438477,-46.846666941905056,-25.089464881284066
306,-43.24174499511719,-20.107826232910156,-46.92207541271601,-25.182811288445542
307,-43.368247985839844,-20.121044158935547,-46.99776358299053,-25.275931050475407
308,-43.48720169067383,-20.134885787963867,-47.07373077153559,-25.368823329296433
309,-43.5601921081543,-20.236331939697266,-47.149976294647,-25.461487288878732
310,-43.63315963745117,-20.34568214416504,-47.22649946611558,-25.553922095247298
311,-43.67233657836914,-20.4971866607666,-47.303299597233284,-25.646126916489496
312,-43.68584442138672,-20.65013313293457,-47.38037599679947,-25.738100922762555
313,-43.60673141479492,-20.756099700927734,-47.457727971127056,-25.829843286301042
314,-43.541282653808594,-20.809221267700195,-47.535354824048795,-25.921353181424305
315,-43.53114318847656,-20.921409606933594,-47.61325585692353,-26.0126297845439
316,-43.63819122314453,-21.060550689697266,-47.69143036864249,-26.103672274171025
317,-43.74333572387695,-21.177045822143555,-47.76987765563561,-26.194479830923882
318,-43.808013916015625,-21.292892456054688,-47.84859701187783,-26.28505163753507
319,-43.946434020996094,-21.361352920532227,-47.92758772889547,-26.37538687885894
320,-44.09226608276367,-21.347469329833984,-48.00684909577261,-26.46548474187894
321,-44.19134521484375,-21.3243408203125,-48.08638039915748,-26.555344415714902
322,-44.266258239746094,-21.422346115112305,-48.166180923268904,-26.644965091630375
323,-44.331214904785156,-21.54319190979004,-48.24624994990269,-26.73434596303988
324,-44.338260650634766,-21.722890853881836,-48.32658675843814,-26.823486225516167
325,-44.321739196777344,-21.900293350219727,-48.40719062584452,-26.912385076797484
326,-44.270931243896484,-22.047073364257812,-48.48806082668757,-27.00104171679477
327,-44.26594161987305,-22.172679901123047,-48.56919663313602,-27.08945534759886
328,-44.284549713134766,-22.306751251220703,-48.650597314968174,-27.177625173487677
329,-44.41099166870117,-22.426118850708008,-48.73226213957843,-27.265550400933382
330,-44.5765380859375,-22.46162223815918,-48.814190371983926,-27.35323023860952
331,-44.707557678222656,-22.422624588012695,-48.89638127483113,-27.440663897398146
332,-44.8271598815918,-22.462650299072266,-48.97883410840245,-27.52785059039692
333,-44.96535110473633,-22.56707000732422,-49.06154813062297,-27.61478953292619
334,-45.06463623046875,-22.71401596069336,-49.14452259706702,-27.701479942536068
335,-45.10772705078125,-22.886960983276367,-49.22775676096498,-27.787921039013447
336,-45.10129928588867,-23.031818389892578,-49.31124987320992,-27.87411204438904
337,-45.09957504272461,-23.169071197509766,-49.39500118236441,-27.960052182944388
338,-45.12339782714844,-23.290929794311523,-49.47900993466723,-28.045740681218817
339,-45.23490905761719,-23.404266357421875,-49.563275374040174,-28.131176768016424
340,-45.35533905029297,-23.494754791259766,-49.647796742094854,-28.216359674413006
341,-45.481712341308594,-23.450389862060547,-49.732573278139526,-28.30128863376298
342,-45.57564926147461,-23.374345779418945,-49.817604219185945,-28.385962881706277
343,-45.70466995239258,-23.406661987304688,-49.902888799956216,-28.470381656175245
344,-45.83578872680664,-23.555639266967773,-49.98842625288968,-28.554544197401487
345,-45.90097427368164,-23.74106788635254,-50.07421580814984,-28.638449747922692
346,-45.93128967285156,-23.896081924438477,-50.16025669363128,-28.72209755258948
347,-46.016212463378906,-24.01342010498047,-50.246548134966616,-28.805486858572166
348,-46.071956634521484,-24.142105102539062,-50.33308935553345,-28.888616915367564
349,-46.09004592895508,-24.27918243408203,-50.41987957646138,-28.971486974805714
350,-46.214874267578125,-24.33211898803711,-50.50691801663902,-29.054096291056656
351,-46.372188568115234,-24.34661102294922,-50.59420389272098,-29.13644412063709
352,-46.48863983154297,-24.30009651184082,-50.681736419134964,-29.218529722417117
353,-46.588069915771484,-24.235000610351562,-50.76951480808883,-29.300352357626856
354,-46.70545959472656,-24.309823989868164,-50.857538269577674,-29.38191128986316
355,-46.795475006103516,-24.449634552001953,-50.94580601139093,-29.46320578509618
356,-46.81388854980469,-24.618473052978516,-51.03431723911952,-29.544235111676013
357,-46.849918365478516,-24.77852439880371,-51.123071156162986,-29.624998540339263
358,-46.81985092163086,-24.929428100585938,-51.21206696373669,-29.705495344215617
359,-46.78771209716797,-25.063018798828125,-51.301303860878946,-29.78572479883439
360,-46.873504638671875,-25.187253952026367,-51.390781044458286,-29.865686182131025
361,-47.01927947998047,-25.267702102661133,-51.480497709180675,-29.94537877445361
362,-47.1846923828125,-25.30936622619629,-51.57045304759673,-30.02480185856936
363,-47.3453254699707,-25.30641746520996,-51.660646250109,-30.10395471967105
364,-47.473812103271484,-25.320140838623047,-51.75107650497928,-30.182836645383468
365,-47.580223083496094,-25.448583602905273,-51.84174299833589,-30.261446925769807
366,-47.63045883178711,-25.617454528808594,-51.932644914181,-30.33978485333808
367,-47.60444641113281,-25.763044357299805,-52.023781434397975,-30.417849723047468
368,-47.56502914428711,-25.908008575439453,-52.11515173875876,-30.495640832314667
369,-47.548065185546875,-26.067785263061523,-52.206755004931225,-30.57315748102022
