Wall time,Step,Value
1534018524.8133612,103,2.0
1534018574.7266698,104,2.0
1534018625.272428,105,2.0
1534018675.2962747,106,2.0
1534018725.5577893,107,2.0
1534018775.7884421,108,2.0
1534018825.2613924,109,2.0
1534018875.33931,110,2.0
1534018925.112568,111,2.0
1534018975.4551923,112,2.0
1534019026.640665,113,2.0
1534019076.8547022,114,2.0
1534019127.5315185,115,2.0
1534019178.3325348,116,2.0
1534019227.921081,117,2.0
1534019277.9484785,118,2.0
1534019328.6163254,119,2.0
1534019378.9258845,120,2.0
1534019428.8232825,121,2.0
1534019478.9678152,122,2.0
1534019528.4978068,123,2.0
1534019578.079955,124,2.0
1534019627.7840674,125,2.0
1534019677.6813962,126,2.0
1534019728.023916,127,2.0
1534019778.972984,128,2.0
1534019828.8022094,129,2.0
1534019878.573424,130,2.0
1534019928.3671558,131,2.0
1534019978.811802,132,2.0
1534020028.8461962,133,2.0
1534020078.646379,134,2.0
1534020127.9605255,135,2.0
1534020177.5956094,136,2.0
1534020227.5520158,137,2.0
1534020278.2314227,138,2.0
1534020328.922297,139,2.0
1534020379.6001284,140,2.0
1534020430.183864,141,2.0
1534020480.4945526,142,2.0
1534020530.3297656,143,2.0
1534020579.8897765,144,2.0
1534020630.0232081,145,2.0
1534020680.341789,146,2.0
1534020731.0336022,147,2.0
1534020781.381171,148,2.0
1534020830.840637,149,2.0
1534020881.0531206,150,2.0
1534020930.8893356,151,2.0
1534020980.792647,152,2.0
1534021031.1332917,153,2.0
1534021081.3248458,154,2.0
1534021131.5644107,155,2.0
1534021181.7951887,156,2.0
1534021232.1127863,157,2.0
1534021281.8099067,158,2.0
1534021331.4810877,159,2.0
1534021381.8112168,160,2.0
1534021431.6375027,161,2.0
1534021481.7699575,162,2.0
1534021531.9784694,163,2.0
1534021581.6636708,164,2.0
1534021632.5777366,165,2.0
1534021683.305697,166,2.0
1534021733.5607471,167,2.0
1534021783.885324,168,2.0
1534021834.4270663,169,2.0
1534021885.1359076,170,2.0
1534021934.7259467,171,2.0
1534021985.15159,172,2.0
1534022035.8954399,173,2.0
1534022086.5012083,174,2.0
1534022136.87786,175,2.0
1534022186.9243793,176,2.0
1534022236.4594111,177,2.0
1534022286.6464093,178,2.0
1534022337.241177,179,2.0
1534022387.2264247,180,2.0
1534022437.340885,181,2.0
1534022487.3403225,182,2.0
1534022537.6539474,183,2.0
1534022587.5582738,184,2.0
1534022637.664841,185,2.0
1534022687.5100906,186,2.0
1534022737.5665393,187,2.0
1534022786.9774451,188,2.0
1534022837.3841734,189,2.0
1534022887.9529061,190,2.0
1534022937.7441208,191,2.0
1534022988.0897648,192,2.0
1534023037.3265476,193,2.0
1534023086.878636,194,2.0
1534023137.5584779,195,2.0
1534023187.3548737,196,2.0
1534023236.8241174,197,2.0
1534023286.604317,198,2.0
1534023336.7888129,199,2.0
1534023386.4290025,200,2.0
1534023435.9599936,201,2.0
1534023486.0164819,202,2.0
1534023536.9835734,203,2.0
1534023587.2961252,204,2.0
1534023637.6837947,205,2.0
1534023688.1105072,206,2.0
1534023738.680736,207,2.0
1534023788.6010551,208,2.0
1534023838.1700737,209,2.0
1534023888.4421954,210,2.0
1534023938.732724,211,2.0
1534023988.8552287,212,2.0
1534024038.981877,213,2.0
1534024088.7651508,214,2.0
1534024138.5323331,215,2.0
1534024187.9422395,216,2.0
1534024237.703426,217,2.0
1534024288.2592523,218,2.0
1534024339.100202,219,2.0
1534024388.751356,220,2.0
1534024438.34446,221,2.0
1534024489.145349,222,2.0
1534024538.7434096,223,2.0
