Wall time,Step,Value
1534013167.5108516,1,-0.07414309680461884
1534013218.5311954,2,0.43482810258865356
1534013270.645354,3,0.3981434404850006
1534013321.4866495,4,0.7909471392631531
1534013372.019423,5,0.9372161626815796
1534013426.092635,6,1.2763334512710571
1534013499.5205956,7,1.4919726848602295
1534013554.3574016,8,1.7884008884429932
1534013608.2156873,9,2.0456061363220215
1534013660.07368,10,2.2952146530151367
1534013712.7566998,11,2.4035136699676514
1534013774.0777826,12,2.7711873054504395
1534013831.4084735,13,3.020418167114258
1534013893.7052393,14,3.234407663345337
1534013950.8536327,15,3.4392945766448975
1534014008.2778986,16,3.629363775253296
1534014066.7335525,17,4.136589050292969
1534014128.4451306,18,4.427435874938965
1534014189.2102084,19,4.884689807891846
1534014244.8604348,20,5.2621355056762695
1534014303.1620004,21,5.506369113922119
1534014362.4576244,22,6.118536949157715
1534014420.694944,23,6.4197492599487305
1534014481.06787,24,6.817309379577637
1534014542.6747725,25,7.276320934295654
1534014612.0378208,26,7.727682113647461
1534014666.721341,27,8.061264991760254
1534014722.254135,28,8.6564302444458
1534014770.9792435,29,9.071199417114258
1534014826.2697227,30,9.696629524230957
1534014878.2668018,31,10.244039535522461
1534014933.4775505,32,10.838330268859863
1534014985.051251,33,11.205235481262207
1534015038.03047,34,11.709087371826172
1534015088.8250194,35,12.35018539428711
1534015139.3851304,36,12.93594741821289
1534015191.0372431,37,13.774807929992676
1534015242.5386262,38,14.471860885620117
1534015294.2957873,39,15.105947494506836
1534015345.5280466,40,15.713531494140625
1534015396.3970404,41,16.467912673950195
1534015447.0203743,42,17.256610870361328
1534015497.2408557,43,17.827598571777344
1534015548.999012,44,18.454425811767578
1534015600.3102086,45,19.1648006439209
1534015652.100886,46,19.938356399536133
1534015703.4396875,47,20.655351638793945
1534015754.8458538,48,21.358488082885742
1534015805.208756,49,22.14051628112793
1534015855.722542,50,23.043012619018555
1534015905.8029754,51,23.861488342285156
1534015956.600048,52,24.625694274902344
1534016006.3863838,53,25.447277069091797
1534016056.524024,54,26.33277702331543
1534016106.17214,55,26.621932983398438
1534016155.9893966,56,27.441064834594727
1534016206.0527713,57,28.166969299316406
1534016256.1451597,58,29.020063400268555
1534016306.1892102,59,29.756431579589844
1534016356.3816693,60,30.505298614501953
1534016405.9557204,61,31.354333877563477
1534016456.5815148,62,32.25728225708008
1534016507.4805024,63,33.28133773803711
1534016557.8440983,64,34.11112976074219
1534016608.4519227,65,34.750938415527344
1534016658.512355,66,35.611663818359375
1534016708.8391528,67,36.0628776550293
1534016759.6691747,68,36.90624237060547
1534016809.787581,69,37.75498962402344
1534016860.0235863,70,38.632503509521484
1534016910.482312,71,39.31290054321289
1534016960.8840277,72,39.640262603759766
1534017011.5828795,73,40.51225662231445
1534017062.3557456,74,41.26551818847656
1534017112.7003613,75,41.9327507019043
1534017162.850789,76,42.790985107421875
1534017213.0027564,77,43.41200637817383
1534017263.5676088,78,43.95561218261719
1534017313.2607327,79,44.720680236816406
1534017363.9625828,80,44.86915588378906
1534017414.3249385,81,45.604637145996094
1534017465.6912398,82,46.2011604309082
1534017516.3503208,83,46.67765426635742
1534017566.736025,84,47.137020111083984
1534017617.389811,85,47.638206481933594
1534017667.9555328,86,48.201290130615234
1534017718.6924927,87,48.667484283447266
1534017768.9521291,88,49.10725784301758
1534017819.0375125,89,49.48520278930664
1534017869.7234118,90,49.90426254272461
1534017920.142066,91,50.35540771484375
1534017971.1111662,92,50.42845916748047
1534018021.544846,93,50.51993942260742
1534018071.8324769,94,50.75486373901367
1534018121.4606245,95,51.11365509033203
1534018170.8665297,96,51.45853042602539
1534018220.5917017,97,51.79146194458008
1534018270.4789448,98,52.1407470703125
1534018320.9241147,99,52.459259033203125
1534018371.817201,100,52.73869705200195
1534018422.152761,101,53.01980972290039
1534018473.1188643,102,53.227760314941406
1534018524.8133612,103,53.96800231933594
1534018574.7266698,104,54.13710021972656
1534018625.272428,105,54.552703857421875
1534018675.2962747,106,54.7900390625
1534018725.5577893,107,55.02663040161133
1534018775.7884421,108,55.28263473510742
1534018825.2613924,109,55.546775817871094
1534018875.33931,110,55.83058166503906
1534018925.112568,111,56.028465270996094
1534018975.4551923,112,56.78916549682617
1534019026.640665,113,57.057247161865234
1534019076.8547022,114,57.2836799621582
1534019127.5315185,115,57.996795654296875
1534019178.3325348,116,58.266361236572266
1534019227.921081,117,58.97911071777344
1534019277.9484785,118,59.26483154296875
1534019328.6163254,119,59.49113082885742
1534019378.9258845,120,59.786415100097656
1534019428.8232825,121,60.34871292114258
1534019478.9678152,122,60.541194915771484
1534019528.4978068,123,60.79084777832031
1534019578.079955,124,61.06497573852539
1534019627.7840674,125,61.295406341552734
1534019677.6813962,126,61.50849914550781
1534019728.023916,127,61.6870231628418
1534019778.972984,128,61.89423370361328
1534019828.8022094,129,62.65946960449219
1534019878.573424,130,62.87107467651367
1534019928.3671558,131,63.11457443237305
1534019978.811802,132,63.377586364746094
1534020028.8461962,133,63.539764404296875
1534020078.646379,134,63.83917999267578
1534020127.9605255,135,63.98752975463867
1534020177.5956094,136,64.16753387451172
1534020227.5520158,137,64.3876953125
1534020278.2314227,138,64.65538787841797
1534020328.922297,139,64.49176025390625
1534020379.6001284,140,64.70182800292969
1534020430.183864,141,65.10552215576172
1534020480.4945526,142,65.39601135253906
1534020530.3297656,143,66.02062225341797
1534020579.8897765,144,66.301513671875
1534020630.0232081,145,66.48725128173828
1534020680.341789,146,66.6870346069336
1534020731.0336022,147,66.8971176147461
1534020781.381171,148,67.03446197509766
1534020830.840637,149,67.1348648071289
1534020881.0531206,150,67.36788177490234
1534020930.8893356,151,67.53147888183594
1534020980.792647,152,67.69413757324219
1534021031.1332917,153,67.87068939208984
1534021081.3248458,154,68.12186431884766
1534021131.5644107,155,68.27435302734375
1534021181.7951887,156,68.47225952148438
1534021232.1127863,157,68.67483520507812
1534021281.8099067,158,68.88875579833984
1534021331.4810877,159,69.13748931884766
1534021381.8112168,160,69.31446075439453
1534021431.6375027,161,69.42277526855469
1534021481.7699575,162,69.56329345703125
1534021531.9784694,163,69.70792388916016
1534021581.6636708,164,69.89337158203125
1534021632.5777366,165,70.07740783691406
1534021683.305697,166,70.18901824951172
1534021733.5607471,167,70.30033111572266
1534021783.885324,168,70.45751953125
1534021834.4270663,169,70.54032897949219
1534021885.1359076,170,70.61470031738281
1534021934.7259467,171,70.83026123046875
1534021985.15159,172,71.02228546142578
1534022035.8954399,173,71.22138214111328
1534022086.5012083,174,71.40666198730469
1534022136.87786,175,71.62400817871094
1534022186.9243793,176,71.89159393310547
1534022236.4594111,177,72.0649642944336
1534022286.6464093,178,72.27152252197266
1534022337.241177,179,72.5301513671875
1534022387.2264247,180,72.693603515625
1534022437.340885,181,72.89351654052734
1534022487.3403225,182,73.00250244140625
1534022537.6539474,183,73.11880493164062
1534022587.5582738,184,73.21694946289062
1534022637.664841,185,73.44409942626953
1534022687.5100906,186,73.64022064208984
1534022737.5665393,187,73.83256530761719
1534022786.9774451,188,73.98796081542969
1534022837.3841734,189,74.53616333007812
1534022887.9529061,190,74.7509536743164
1534022937.7441208,191,74.96166229248047
1534022988.0897648,192,75.09209442138672
1534023037.3265476,193,75.32789611816406
1534023086.878636,194,75.52090454101562
1534023137.5584779,195,75.67469024658203
1534023187.3548737,196,75.90983581542969
1534023236.8241174,197,76.04057312011719
1534023286.604317,198,76.23092651367188
1534023336.7888129,199,76.40078735351562
1534023386.4290025,200,76.55886840820312
1534023435.9599936,201,76.76521301269531
1534023486.0164819,202,76.9891357421875
1534023536.9835734,203,77.2271957397461
1534023587.2961252,204,77.38842010498047
1534023637.6837947,205,77.57400512695312
1534023688.1105072,206,77.74697875976562
1534023738.680736,207,77.88577270507812
1534023788.6010551,208,78.04347229003906
1534023838.1700737,209,78.20034790039062
1534023888.4421954,210,78.34127807617188
1534023938.732724,211,78.60896301269531
